character_id,paperaudio_id
1034,1321
1492,1328
1519,1328
1489,1328
1367,1608
1344,2097
1482,2097
1467,2460
1343,2460
1271,2461
1482,2462
1344,2462
856,2463
1343,2464
112,2469
370,2470
504,2471
1112,2472
148,2476
370,2479
927,2486
829,2487
